"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","786","TC021 - Cancel checkout","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","2881","TC021 - Cancel checkout","webkit","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","4148","TC013 - View cart with items","webkit","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","949","TC017 - Complete checkout with valid information","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1155","TC012 - Sort products by price high to low","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1548","TC009 - Sort products by name A to Z","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","587","TC006 - Verify inventory page loads correctly","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","840","TC019 - Failed checkout with missing last name","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1152","TC010 - Sort products by name Z to A","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1305","TC021 - Cancel checkout","firefox","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1636","TC014 - Remove item from cart","webkit","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","654","TC009 - Sort products by name A to Z","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1468","TC011 - Sort products by price low to high","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1250","@regression TC004 - Empty username validation","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1763","TC020 - Failed checkout with missing postal code","webkit","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1235","TC016 - Proceed to checkout from cart","firefox","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","810","TC014 - Remove item from cart","chromium","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1544","TC008 - Add multiple items to cart","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","583","@regression TC002 - Invalid credentials should show error","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
